GEOID,pct_white,pct_black,pct_not_white,majority_not_white,median_ageE,median_incomeE,maj_anc_type,maj_anc_group
36047093200,0.03859649122807018,0.95,0.9614035087719298,TRUE,54.6,30275,WestIndianexceptHispanicgroups,West Indies
36047094600,0.023255813953488372,0.9367225527312061,0.9767441860465116,TRUE,41.7,38750,WestIndianexceptHispanicgroups,West Indies
36047111600,0.1211378126532614,0.7729279058361942,0.8788621873467386,TRUE,25.9,23922,WestIndianexceptHispanicgroups,West Indies
36047105801,0.36251733703190014,0.6019417475728155,0.6374826629680999,TRUE,48.4,16096,WestIndianexceptHispanicgroups,West Indies
36047105804,0.2705898720089037,0.6061491374513077,0.7294101279910963,TRUE,46.6,19083,American,United States
36047110400,0.03443708609271523,0.8609271523178808,0.9655629139072848,TRUE,35.7,21287,WestIndianexceptHispanicgroups,West Indies
36047114400,0.21762740183792814,0.5622389306599833,0.7823725981620718,TRUE,32.1,21036,WestIndianexceptHispanicgroups,West Indies
36047119800,0.19953596287703015,0.4617169373549884,0.8004640371229699,TRUE,33.9,22292,American,United States
36047123700,0.8864822134387351,0.03241106719367589,0.11351778656126482,FALSE,13.5,21475,Hungarian,Europe
36047150200,0.8356456776947705,0.029171113482746355,0.16435432230522945,FALSE,36,48402,Italian,Europe
36047152200,0.4546427615734546,0.19480867005619482,0.5453572384265454,TRUE,36.7,46675,English,Europe
36047990100,NaN,NaN,NaN,NA,NA,NA,Afghan,Middle East
